"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -0.717360904,       1.805081464,      -12.84496576,       4.754661192,      -5.419112226
          0,           0,           1,     -0.9659154583,       1.577804643,      0.5199530183,       4.511166889,      -5.442076199
          0,           0,           2,      -1.116410046,       1.463890665,      0.7181568298,       4.363435853,      -5.483698437
          0,           0,           3,      -1.171057627,       1.420147907,      0.7886843153,       4.312080535,      -5.530638447
          0,           0,           4,      -1.224373107,       1.366170185,      0.8151024436,       4.258448002,      -5.573725267
          0,           0,           5,      -1.290091198,       1.312658407,      0.8245357858,       4.190531288,      -5.612784899
          0,           0,           6,      -1.351925889,       1.275176435,      0.8268044336,       4.126848235,      -5.650461054
          0,           0,           7,      -1.401682789,       1.249921371,      0.8238428378,       4.076488494,      -5.689457154
          0,           0,           8,      -1.445785581,        1.23038219,      0.8143894331,       4.032651672,      -5.731551076
          0,           0,           9,      -1.493457562,       1.215924688,      0.7969312543,       3.985648182,      -5.775337253
          0,           0,          10,      -1.547370264,       1.206834209,      0.7710107018,       3.932569072,      -5.815538431
          0,           0,          11,      -1.602292021,       1.201119181,      0.7379035131,       3.878320719,      -5.845325082
          0,           0,          12,      -1.647719959,       1.196138398,      0.7006046457,       3.832982446,      -5.861066167
          0,           0,          13,       -1.67506687,       1.190553073,      0.6636019317,       3.805158757,      -5.864653052
          0,           0,          14,      -1.685222742,         1.1844543,        0.63209592,       3.794616229,      -5.860810901
          0,           0,          15,      -1.686092666,       1.178533978,      0.6099577502,       3.794005921,       -5.85319958
          0,           0,          16,      -1.684007817,       1.173320553,      0.5970029455,       3.796944456,      -5.843268285
          0,           0,          17,      -1.679824437,        1.16893797,      0.5881147443,       3.802145054,      -5.831065256
          0,           0,          18,      -1.670896469,       1.165182497,       0.575788849,       3.811856098,      -5.816520309
          0,           0,          19,      -1.655660126,       1.161743136,      0.5539475937,       3.827655391,      -5.800145844
          0,           0,          20,      -1.636646216,       1.158386105,      0.5210908209,       3.847466899,      -5.782982322
          0,           0,          21,      -1.619376861,       1.155037004,      0.4833902383,       3.866278649,      -5.766033918
          0,           0,          22,      -1.609079885,       1.151746101,      0.4564930587,       3.879106892,      -5.749857614
          0,           0,          23,      -1.608513977,       1.148574706,      0.4569178923,        3.88317841,      -5.734459408
          0,           0,          24,      -1.617470157,       1.145468591,       0.483595648,       3.878545737,      -5.719566388
          0,           0,          25,      -1.633134098,       1.142245947,      0.5195968631,       3.867765223,      -5.704972255
          0,           0,          26,       -1.65112399,       1.138689472,      0.5506698511,       3.854839102,      -5.690731367
          0,           0,          27,      -1.667266855,       1.134677699,      0.5717075596,       3.843486603,      -5.677133778
          0,           0,          28,      -1.679486057,       1.130271197,      0.5836288227,       3.835468109,      -5.664554674
          0,           0,          29,      -1.688383184,       1.125704238,      0.5897284442,       3.830198107,      -5.653287847
          0,           0,          30,      -1.696050524,       1.121297919,      0.5931806155,       3.825877752,      -5.643447953
          0,           0,          31,      -1.704410071,       1.117350635,      0.5956872179,       3.820922844,      -5.634968269
          0,           0,          32,      -1.714350389,       1.114066675,      0.5973230889,       3.814663122,      -5.627642942
          0,           0,          33,      -1.725739541,       1.111543171,      0.5972227012,       3.807297899,      -5.621207655
          0,           0,          34,      -1.737889548,       1.109808268,      0.5944220645,       3.799491227,      -5.615400025
          0,           0,          35,      -1.750048954,       1.108869416,      0.5883488015,       3.791959794,      -5.609984807
          0,           0,          36,       -1.76173407,       1.108740608,      0.5789569709,       3.785206232,      -5.604783341
          0,           0,          37,      -1.772809111,        1.10945349,      0.5666143231,       3.779461583,      -5.599667768
          0,           0,          38,      -1.783341719,       1.111045181,      0.5519403435,       3.774780308,      -5.594555307
          0,           0,          39,      -1.793389604,       1.113539389,      0.5356766998,       3.771174722,      -5.589408218
          0,           0,          40,      -1.802857119,       1.116942703,      0.5186150094,       3.768704766,      -5.584224343
          0,           0,          41,      -1.811461154,       1.121249518,      0.5015811252,       3.767498608,      -5.579034125
          0,           0,          42,      -1.818824974,       1.126441907,      0.4854444954,       3.767698578,      -5.573892875
          0,           0,          43,      -1.824585465,        1.13250332,      0.4711356806,       3.769417886,      -5.568865492
          0,           0,          44,      -1.828478262,       1.139424022,      0.4595354081,       3.772720989,      -5.564016815
          0,           0,          45,      -1.830349335,       1.147200525,      0.4513408967,       3.777637326,      -5.559399371
          0,           0,          46,       -1.83013881,       1.155833808,       0.446908618,       3.784175792,      -5.555044739
          0,           0,          47,      -1.827865163,       1.165325791,       0.446151249,       3.792327904,      -5.550961062
          0,           0,          48,      -1.823608898,       1.175680193,      0.4486100817,       3.802062505,      -5.547134986
          0,           0,          49,      -1.817514073,       1.186902825,      0.4535929735,       3.813315734,      -5.543540721
          0,           0,          50,      -1.809796668,       1.199003573,      0.4603896352,       3.825984086,      -5.540144775
          0,           0,          51,      -1.800740894,       1.212000418,      0.4684020386,       3.839929942,      -5.536924561
          0,           0,          52,       -1.79067348,       1.225919011,      0.4772056998,       3.855001661,      -5.533857459
          0,           0,          53,      -1.779910897,       1.240788089,      0.4865528261,        3.87106258,      -5.530930006
          0,           0,          54,      -1.768694702,       1.256627645,       0.496323992,       3.888017706,      -5.528133974
          0,           0,          55,      -1.757124924,       1.273438253,      0.5064842791,       3.905833901,      -5.525460183
          0,           0,          56,      -1.745105651,       1.291201112,      0.5170202928,       3.924565683,      -5.522894503
          0,           0,          57,      -1.732363587,       1.309887798,      0.5278967804,       3.944330449,      -5.520412107
          0,           0,          58,      -1.718489867,       1.329466006,      0.5390383524,       3.965290068,      -5.517981861
